Username,Password,Name,Customer_no,Acc_no,Balance
Surya12,Surya@123,NT Surya,CN301,8688055060,143
Saikumar32,Sai@2281,Saikumar_V,CN302,8688055061,201.2
Aruna269,Aruna213#,Aruna_G,CN303,8688055062,324.4
Kavya212,Kaavya@32,Kavya_K,CN304,8688055063,6000
Udaykiran181,Uday@123,Udaykiran_N,CN305,8688055064,4321
Dakhila289,Akhi@2676,Akhila_D,CN306,8688055065,5321
Srinuvas318,Seenu313#,Srinuvas_M,CN307,8688055066,4800
Ramesh66,Ram$32,Ramesh_E,CN308,8688055067,800
Srivalli21,Valli@123,Srivallika_T,CN309,8688055068,3450
Raju159,Raj1234,Raju_R,CN310,8688055069,7390
Ramarao290,Ramu!213,Ramarao_T,CN311,8688055070,400.8
Sindhu213,Sindhuja@543,Sindhuja_V,CN312,8688055071,2089
Maharshi717,Maha$219,Maharshi_M,CN313,8688055072,4392.9
virat18,Virat@1807,Virat_CH,CN314,8688055073,4398
Harshavardhan360,Harsha@12,Harshavardhan_Reddy,CN315,8688055074,4837
